id,name
1,Die Macher
2,Dragonmaster
3,Samurai
4,Tal der Könige
5,Acquire
6,Mare Mediterraneum
7,Cathedral
8,Lords of Creation
9,El Caballero
10,Elfenland
11,Bohnanza
12,Ra
13,Catan
14,Basari
15,Cosmic Encounter
16,MarraCash
17,Button Men
18,RoboRally
19,Wacky Wacky West
20,Full Metal Planète
21,Gateway to the Stars
22,Magic Realm
23,Divine Right
24,Twilight Imperium
25,Battlemist
26,Age of Renaissance
27,Supremacy
28,Illuminati:  Deluxe Edition
29,Terrain Vague
30,Dark Tower
31,Dark World
32,Bison
34,Arkham Horror
36,Federation & Empire
37,Dragon Masters
38,Runes
39,Darkover
40,Borderlands
41,Can't Stop
42,Tigris & Euphrates
43,Airlines
44,David & Goliath
45,Liar's Dice
46,Medici
47,Chinatown
48,Krieg und Frieden
49,Mamma Mia!
50,Lost Cities
51,Ricochet Robots
52,Mighty Empires
53,Brauerei
54,Tikal
55,Sophie's World
57,Schoko & Co.
58,Kings & Things
59,Giganten
60,Vinci
61,Fossil
62,Curse of the Mummy's Tomb
63,Samurai
64,Joan of Arc
65,The Garden Game
66,Löwenherz
67,Conquest
68,Successors (second edition)
69,Bollox
70,Big City
71,Civilization
72,Verräter
73,Show Manager
74,Apples to Apples
75,Falling
76,Air Baron
77,EastFront
78,WestFront
82,Bobby Lee
83,Sam Grant
84,Rommel in the Desert
85,Quebec 1759
87,Victory:  The Blocks of War
88,Torres
89,Blue vs. Gray
90,Star Wars: Episode 1 – Clash of the Lightsabers
91,Paths of Glory
93,El Grande
94,Union Pacific
95,Igel Ärgern
96,Broadsides and Boarding Parties
97,Conquest of the Empire
98,Axis & Allies
99,Fortress America
101,Detroit-Cleveland Grand Prix
102,Klunker
103,Titan
104,Extrablatt
105,Colossal Arena
106,Mystery Rummy: Jack the Ripper
107,Peaceful Resistance
108,TAMSK
109,Wettstreit der Baumeister
110,Auf Achse
111,Rheinländer
112,Condottiere
113,Mit List und Tücke
114,Ransom
115,I'm the Boss!
116,Guillotine
117,Ta Yü
118,Modern Art
119,Kingdoms
120,Hoity Toity
121,Dune
122,Quo Vadis?
123,Green Thumb Cards
124,Primordial Soup
125,Money!
126,The Really Nasty Horse Racing Game
127,Princess Ryan's Star Marines
128,Take it Easy!
130,Iron Dragon
132,Caesar & Cleopatra
133,Frischfleisch
134,Cape Horn
135,Kontor
136,Robin Hood
137,Pass the Bomb
139,Hoax
140,Pit
141,Andromeda
