game.id,details.name,details.yearpublished,game.type,attributes.boardgamecategory,price.prices,details.maxplayers,details.minplayers,details.maxplaytime,details.playingtime,details.minplaytime,details.minage
1,Die Macher,1986,boardgame,"Economic,Negotiation,Political","49.95, 209.99",5,3,240,240,240,14
2,Dragonmaster,1981,boardgame,"Card Game,Fantasy",292.95,4,3,30,30,30,12
3,Samurai,1998,boardgame,"Abstract Strategy,Medieval","49.99, 59.95",4,2,60,60,30,10
4,Tal der Könige,1992,boardgame,Ancient,"50, 30",4,2,60,60,60,12
5,Acquire,1964,boardgame,Economic,"24.88, 15, 50",6,3,90,90,90,12
6,Mare Mediterraneum,1989,boardgame,"Civilization,Nautical",,6,2,240,240,240,12
7,Cathedral,1978,boardgame,Abstract Strategy,"39.99, 27.99, 38, 19",2,2,20,20,20,8
8,Lords of Creation,1993,boardgame,"Civilization,Fantasy",,5,2,120,120,120,12
9,El Caballero,1998,boardgame,Exploration,"20.97, 27, 31",4,2,90,90,90,13
10,Elfenland,1998,boardgame,"Fantasy,Travel","44.99, 119.99, 24, 18",6,2,60,60,60,10
11,Bohnanza,1997,boardgame,"Card Game,Farming,Negotiation","19.99, 15.32",7,2,45,45,45,13
12,Ra,1999,boardgame,"Ancient,Mythology","59.95, 47.96, 85, 34",5,2,60,60,45,12
13,Catan,1995,boardgame,Negotiation,"48.99, 17, 20, 44",4,3,120,120,60,10
14,Basari,1998,boardgame,Negotiation,"17.99, 89.99, 10, 20",4,3,25,25,25,10
15,Cosmic Encounter,1977,boardgame,"Bluffing,Negotiation,Science Fiction","59.95, 47.97",6,2,90,90,90,12
16,MarraCash,1996,boardgame,Economic,,4,3,60,60,60,12
17,Button Men,1999,boardgame,"Collectible Components,Dice,Fighting,Print & Play","7, 20",2,2,5,5,5,10
18,RoboRally,1994,boardgame,"Miniatures,Racing,Science Fiction","49.99, 99.44, 10, 150",8,2,120,120,45,12
19,Wacky Wacky West,1991,boardgame,"American West,Bluffing,City Building","34.99, 29.01",4,2,45,45,30,9
20,Full Metal Planète,1988,boardgame,Science Fiction,,4,2,90,90,90,12
21,Gateway to the Stars,1981,boardgame,"Civilization,Exploration,Science Fiction",,7,1,0,0,0,12
22,Magic Realm,1979,boardgame,"Adventure,Exploration,Fantasy","225, 140, 99",16,1,240,240,240,12
23,Divine Right,1979,boardgame,"Fantasy,Political,Wargame",75,6,2,360,360,360,12
24,Twilight Imperium,1997,boardgame,"Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame","70, 40",6,2,240,240,240,12
25,Battlemist,1998,boardgame,"Exploration,Fantasy,Wargame",60,6,2,200,200,200,12
26,Age of Renaissance,1996,boardgame,"Civilization,Economic,Medieval,Renaissance","287.78, 80, 90",6,3,360,360,360,12
27,Supremacy,1984,boardgame,"Economic,Political,Wargame","64.22, 34",6,2,340,340,340,12
28,Illuminati:  Deluxe Edition,1987,boardgame,"Card Game,Humor,Negotiation,Political","34.99, 70.00",8,2,180,180,60,12
29,Terrain Vague,1993,boardgame,"Fighting,Humor",,4,2,120,120,120,10
30,Dark Tower,1981,boardgame,"Adventure,Electronic,Exploration,Fantasy,Fighting","300, 240",4,1,90,90,90,10
31,Dark World,1992,boardgame,"Adventure,Exploration,Fantasy,Fighting,Miniatures",40,5,2,90,90,90,10
32,Bison,1975,boardgame,"Abstract Strategy,American West",,2,2,30,30,30,8
34,Arkham Horror,1987,boardgame,"Adventure,Horror,Novel-based",,8,1,180,180,180,12
36,Federation & Empire,1986,boardgame,"Science Fiction,Wargame","30, 20, 40",8,2,300,300,300,12
37,Dragon Masters,1991,boardgame,"Fantasy,Wargame",60,4,2,120,120,120,12
38,Runes,1981,boardgame,"Deduction,Word Game",20,4,2,30,30,30,10
39,Darkover,1979,boardgame,"Bluffing,Fantasy,Novel-based",30,4,2,60,60,60,12
40,Borderlands,1982,boardgame,"Bluffing,Civilization,Fantasy,Negotiation,Political","50, 80",4,2,120,120,120,12
41,Can't Stop,1980,boardgame,Dice,"39.99, 151.06, 50, 18",4,2,30,30,30,9
42,Tigris & Euphrates,1997,boardgame,"Abstract Strategy,Ancient,Civilization,Territory Building","59.95, 59.99, 60",4,2,90,90,90,12
43,Airlines,1990,boardgame,"Aviation / Flight,Economic",50,6,2,90,90,90,12
44,David & Goliath,1998,boardgame,Card Game,30,6,3,60,60,60,8
45,Liar's Dice,1800,boardgame,"Bluffing,Dice,Movies / TV / Radio theme,Party Game","34.99, 25.38, 10",6,2,30,30,15,8
46,Medici,1995,boardgame,Renaissance,"39.99, 39.00, 35, 39, 40",6,2,60,60,60,10
47,Chinatown,1999,boardgame,"City Building,Economic,Negotiation",,5,3,60,60,60,12
48,Krieg und Frieden,1999,boardgame,"Medieval,Political",18,4,2,90,90,90,12
49,Mamma Mia!,1999,boardgame,Card Game,"19.99, 9",5,2,30,30,30,10
50,Lost Cities,1999,boardgame,"Card Game,Exploration","19.99, 11.89, 10",2,2,30,30,30,10
51,Ricochet Robots,1999,boardgame,"Abstract Strategy,Maze,Puzzle,Real-time","49.99, 44.99, 45, 35",15,1,30,30,30,10
52,Mighty Empires,1990,boardgame,"Fantasy,Territory Building,Wargame",90,3,2,300,300,300,14
53,Brauerei,1996,boardgame,Economic,,6,3,0,0,0,14
54,Tikal,1999,boardgame,"Exploration,Territory Building","32.99, 34.44, 20",4,2,90,90,90,13
55,Sophie's World,1998,boardgame,Trivia,,6,2,0,0,0,12
57,Schoko & Co.,1987,boardgame,Economic,"8, 25",4,2,180,180,180,13
58,Kings & Things,1986,boardgame,"Bluffing,Exploration,Fantasy,Territory Building,Wargame","69.99, 55.00, 19",4,2,120,120,120,12
59,Giganten,1999,boardgame,"Economic,Exploration,Industry / Manufacturing",,4,3,90,90,90,10
60,Vinci,1999,boardgame,"Ancient,Civilization,Territory Building","144.00, 20, 24",6,3,90,90,90,14
61,Fossil,1998,boardgame,Ancient,,6,2,40,40,40,10
62,Curse of the Mummy's Tomb,1988,boardgame,"Adventure,Ancient,Horror","60, 60",4,1,120,120,120,12
63,Samurai,1979,boardgame,"Political,Wargame","14, 25",8,2,180,180,180,12
64,Joan of Arc,1998,boardgame,"Card Game,Medieval,Political,Wargame",25,6,3,180,180,180,12
65,The Garden Game,1996,boardgame,Card Game,4,6,2,30,30,30,8
66,Löwenherz,1997,boardgame,"Medieval,Political",23,4,2,90,90,90,12
67,Conquest,1974,boardgame,"Abstract Strategy,Ancient,Wargame",,4,2,120,120,120,10
68,Successors (second edition),1997,boardgame,"Ancient,Wargame",70,4,2,180,180,180,12
