1,Game,Category,Players,Difficulty (1-5),Avg. Play Time,Age
2,1313 Dead End Drive,Children/Bluffing/Deduction,2 to 4,1.5,45 minutes,9+
3,20 Questions,Party,2 to 7,1.5,30 minutes,8+
4,6 nimmt!,Cards,2 to 10,1,45 minutes,8+
5,7 Wonders,Strategy/City Building,2 to 7,2.5,30 minutes,10+
6,7 Wonders Duel,Strategy/City Building,2,2,30 minutes,10+
7,A Game of Thrones: The Board Game (Second Edition),Bluffing/Area Control,3 to 6,3.5,120-240 minutes,14+
8,A Study in Emerald,Deckbuilding/Horror,2 to 5,3,60 minutes,13+
9,A Touch of Evil,Adventure/Horror,2 to 8,2.5,90 minutes,12+
10,Above and Below,Card Drafting,2 to 4,2.5,90 minutes,13+
11,Accentuate,Party,4 to 12,1,30 minutes,12+
12,Advance to Boardwalk,Children's/Area Control,2 to 4,1.5,60 minutes,8+
13,Adventure Land,Area Control,2 to 4,2,45 minutes,10+
14,Aeon's End: War Eternal,Card Drafting/Co-operative,1 to 4,3,60 minutes,14+
15,Aggravation,Roll/Spin/Move,4 to 6,1,45 minutes,6+
16,Agricola,Card Drafting,1 to 5,3.5,30-150 minutes,12+
17,Agricola: All Creatures Big & Small (2-Player Edition),Strategy/Tile Placement,2,2.5,30 minutes,13+
18,Alhambra,City Building,2 to 6,2,45-60 minutes,8+
19,Alhambra (German version),Tile Placement,2 to 6,2,45-60 minutes,8+
20,Among the Stars,Strategy/City Building,2 to 4,2,30 minutes,12+
21,Android: Netrunner,Bluffing,2,3.5,45 minutes,14+
22,Angelina Ballerina's Dancing Game,Children's,2 to 4,1,15 minutes,3+
23,Apples to Apples,Party/Humor/Cards,4 to 10,1,30 minutes,12+
24,Apples to Apples - Big Picture,Party/Humor/Cards,4 to 6,1,30 minutes,7+
25,Apples to Applies Junior,Children/Party,4 to 10,1,30 minutes,9+
26,Arcane Academy,Card Drafting/Tile Placement,2 to 4,2.5,30-45 minutes,12+
27,Are You Smarter Than a 5th Grader,Trivia,2 to 4,1,30 minutes,8+
28,Arkham Horror,Co-op,1 to 8,3.5,120-240 minutes,12+
29,Ars Victor,Wargame,2,2.5,60 minutes,13+
30,Ascension,Deckbuilding,1 to 4,2,30 minutes,13+
31,Axis and Allies,Wargame,2 to 5,3,180 minutes,12+
32,Backgammon,Classic,2,1.5,30 minutes,8+
33,Backyard Builders Treehouse,Card Drafting,2 to 5,1,5-10 minutes,6+
34,Bad Beets,Bluffing,2 to 5,1.5,15 minutes,8+
35,Balderdash,Classic/Party/Bluffing,2 to 6,1.5,60 minutes,12+
36,Banana Bandits,Dice Rolling,2 to 4,2,25-40 minutes,8+
37,Bananagrams Party,Words,2 to 8,1,25 minutes,10+
38,Bananagrams Wild Tiles,Words,2 to 8,1,25 minutes,10+
39,Bang: Heroes of the Storm,Bluffing/Party/Deduction,4 to 7,1.5,45 minutes,10+
40,Bang!,Bluffing,4 to 7,1.5,20-40 minutes,8+
41,Bargain Hunter,Strategy,3 to4,2,60 minutes,10+
42,Battle Kittens,Drafting,2 to 6,1.5,15 minutes,8+
43,Battle Line,Deduction/Hand Management,2,2,30 minutes,12+
44,Battle Sheep,Abstract,2 to 4,1.5,15 minutes,7+
45,Battles of Westeros,Wargame,2,3,60-120 minutes,12+
46,Battles of Westeros: Wardens of the North,Wargame,2,3,60-120 minutes,12+
47,Battles of Westeros: Wardens of the West,Wargame,2,3,60-120 minutes,12+
48,Battleship,Strategy,2,1.5,30 minutes,8+
49,Battlestar Galactica,Bluffing,3 to 6,3,120-240 minutes,10+
50,Bears!,Party/Dice Rolling,2 to 4,1,20 minutes,7+
51,Bears vs. Babies,Party,2 to 5,1.5,20 mins,8+
52,Beer Money,Cards/Fighting,2 to 4,2,10 minutes,12+
53,Betrayal at House on the Hill,Co-op/Horror,3 to 6,2.5,60 minutes,12+
54,Between two Cities,City Building,3 to 7,2,20 minutes,8+
55,Biblios,Card Drafting,2 to 4,1.5,30 minutes,10+
56,Big Money,Dice Rolling,2 to 5,1,30 minutes,8+
57,Billionaire Banshee,Party/Adult,15-Jan,1,60 minutes,17+
58,BioShock Infinite: The Siege of Columbia,Strategy,2 to 4,3,60 minutes,13+
59,Blokus,Abstract/Strategy,2 to 4,1,20 minutes,5+
60,Blokus (Travel),Abstract/Strategy,2 to 4,1,20 minutes,5+
61,Blood Bowl Team Manager,Card Drafting,2 to 4,3,90 Minutes,14+
62,Blood Feud in New York,Miniatures/Territory Building,2 to 6,2.5,180 minutes,12+
63,Blood Rage,Miniatures/Card Drafting,2 to 4,3,60-90 minutes,13+
64,Blood Rage 5th Player Expansion,Expansion to Blood Rage,5,2.5,60-90 minutes,11+
65,Bob Ross: The Art of Chill,Set Collection,2 to 4,1.5,30 minutes,12+
66,Bohnanza,Negotation,2 to 7,1.5,45 minutes,13+
67,Bonbons,Children's/Memory,2 to 6,1,10-20 minutes,7+
68,Boss Monster,Card Strategy,1 to 4,2,20 minutes,13+
69,Boss Monster 2: The Next Level,Card Strategy,2 to 4,2,20-30 minutes,13+
70,Bottom of the 9th,Bluffing/Deduction,1 to 2,1.5,5-20 minutes,13+
71,"Brave Rats (a.k.a. ""R"")",Card/Deduction,2,1,15 minutes,8+
72,Brew Crafters,Worker Placement,2 to 5,3.5,90 minutes,12+
73,Brick Party,Party,4 to 9,1.5,30 minutes,5+
74,Spookre,Trickery,3 to 5,1.5,20-40 minutes,10+
75,Broom Service,Strategy,2 to 5,2.5,30-75 minutes,10+
76,Bump in the Night,Miniatures/Horror,2 to 6,2.5,60 minutes,12+
77,Bunny Bunny Moose Moose,Party/Dexterity,3 to 6,1.5,20 minutes,9+
78,Cacao,Territory Building/Tile Placement,2 to 4,2,45 minutes,8+
79,Camel Up,Family/Wagering,2 to 8,1.5,20-30 minutes,8+
80,Can't Stop,Press Your Luck,2 to 4,1,30 minutes,9+
81,Candamir: The First Settlers,Set Collection,2 to 4,2.5,60 minutes,12+
82,Candyland,,2 to 4,1,10 minutes,4+
83,Candyland,Children,2 to 4,1,10 minutes,4+
84,Captain Sonar,Party/Deduction,2 to 8,2,45-60 minutes,14+
85,Car Wars,Wargames,2 to 8,3,45 minutes,10+
86,Car Wars: Arenas,Thematic/Cards,2 to 6,1.5,60 minutes,10+
87,Car Wars: The Card Game,Thematic/Cards,2 to 6,1.5,60 minutes,10+
88,Carcassone: Inns and Cathedrals,Expansion for Carcassone,2 to 6,2,60 minutes,8+
89,Carcassonne,Strategy,2 to 5,3,30-90 minutes,8+
90,Carcassonne: The Discovery,Tile Placement,2 to 5,2,30 minutes,8+
91,Cardline - Animals,Trivia,2 to 8,1,15-20 minutes,8+
92,Cards Against Humanity,Party/Adult,4 to 30,1,30 minutes,18+
93,Cards Against Humanity: ALL 26 Expansions,Party/Adult,4 to 30,1,30 minutes,18+
94,Cartagena,Family/Racing,2 to 5,1.5,45 minutes,8+
95,CaSh n' GunS: 2nd Edition,Party/Bluffing,4 to 6,1.5,30 minutes,10+
96,Castle Panic,Co-Op/Tower Defense,1 to 6,2,30 minutes,10+
97,Castle: The Detective Card Game,Murder/Mystery,2 to 5,1,25 minutes,15+
98,Castles of Burgundy,Strategy,2 to 4,3,30-90 minutes,12+
99,Castles of Mad King Ludwig,Card Drafting,1 to 4,2.5,90 minutes,13+
100,Cat Tower,Stacking,2 to 6,1,15 minutes,4+
101,Cat-opololy,Classic/Thematic,2 to 6,1.5,60 minutes,9+
102,Catan 5-6 players Extension,Expansion to Catan,5 to 6,2.5,120 minutes,10+
103,Catan Settlers of America Trails to Rails,Route Building,3 to 4,2.5,120 minutes,12+
104,Catan Struggle for Rome,Area Movement,3 to 4,2.5,120 minutes,10+
